idx,address,original_reward,area,description,reward_style,tier,force_type,required_key_items,required_key_items_lock1,required_key_items_lock2,exdeath_address,hint_tags,world
314,D135DE,Running Shoes,Rift,Rift (Castle) Chest,chest,7,,,,,,,
315,D135E2,Red Shoes,Rift,Rift (Castle) Chest,chest,7,,,,,,,
316,D135E6,Rainbow Dress,Rift,Rift (Castle) Chest,chest,7,,,,,,,
317,D135EA,ManEater,Rift,Rift (Castle) Chest,chest,7,,,,,,,
318,D135EE,Pinwheel,Void,The Void Chest,chest,8,,,,,,,
319,D135F2,Pinwheel,Void,The Void Chest,chest,8,,,,,,,
320,D135F6,Elixir,Void,The Void Chest,chest,8,,,,,,,
321,D135FA,Ragnarok,Void,The Void Chest,chest,8,Item,,,,,,
322,D135FE,Pinwheel,Void,The Void Chest,chest,8,,,,,,,
323,C0FB70,New,Ancient Library,Byblos,key,7,,[“Ifrit's Fire”],[“Ifrit's Fire”],[“Ifrit's Fire”],60,[“library”],1
324,C0FB72,New,Wind Shrine,WingRaptor,key,7,,,,,61,,1
325,C0FB74,New,Torna Canal,Karlabos,key,7,,,,,62,[“ship”],1
326,C0FB76,New,Ship Graveyard,Siren,key,7,,,,,63,[“ship”],1
327,C0FB78,New,North Mountain,Magisa & Forza,key,7,,,,,64,[“mountainous”],1
328,C0FB7A,New,Walse Tower,Galura,key,7,,[“Walse Tower Key”],[“Walse Tower Key”],[“Walse Tower Key”],65,[“tower”],1
329,C0FB7C,New,Steamship,LiquiFlame,key,7,,[“Steamship Key”],[“Steamship Key”],[“Steamship Key”],66,[“ship”],1
330,C0FB7E,New,Karnak,Sergeant & DeathClaw,key,7,,[“Steamship Key”],[“Steamship Key”],[“Steamship Key”],67,[“burning”],1
331,C0FB80,New,Desert of Shifting Sands,Sandworm,key,7,,[“Sandworm Bait”],[“Sandworm Bait”],[“Sandworm Bait”],68,[“desert”],1
332,C0FB82,New,Tycoon Meteor,AdamanTiMi,key,7,,,,,69,[“meteor”],1
333,C0FB84,New,Flying Lonka Ruins,Sol Cannon,key,7,,[“Adamantite”],[“Adamantite”],[“Adamantite”],6A,[“aerial”],1
334,C0FB86,New,Flying Lonka Ruins,ArchaeAvis,key,7,,[“Adamantite”],[“Adamantite”],[“Adamantite”],6B,[“aerial”],1
335,C0FB88,New,Lonka Meteor,Chim.Brain,key,7,,,,,6C,[“meteor”],1
336,C0FB8A,New,Walse Meteor,Puroboros,key,7,,,,,6E,[“meteor”],1
337,C0FB8C,New,Karnak Meteor,Titan,key,7,,,,,6D,[“meteor”],1
338,C0FBB6,New,Ancient Library,Ifrit,key,7,,,,,83,[“library”],1
339,C0FBB8,New,Walse Kingdom,Shiva,key,7,,,,,84,[“castle”],1
340,C0FBBA,New,Catapult,Crayclaw,key,7,,,,,85,[“aerial”],1
341,C0FB8E,New,Exdeath's Castle,Gilgamesh 1,key,7,,[“Anti Barrier”],"[“Adamantite”, “Anti Barrier”]",[“Anti Barrier”],6F,[“castle”],2
342,C0FB90,New,Big Bridge,Gilgamesh 2,key,7,,[“Big Bridge Key”],"[“Adamantite”, “Big Bridge Key”]",[“Big Bridge Key”],70,[“bridge”],2
343,C0FB92,New,Moogle Waterway,Tyrasaurus,key,7,,,[“Adamantite”],,71,[“cave”],2
344,C0FB94,New,Bal Castle,Abductor,key,7,,,[“Adamantite”],,72,[“castle”],2
345,C0FB96,New,Hiryuu Valley,HiryuuPlant,key,7,,,[“Adamantite”],,73,[“mountainous”],2
346,C0FB98,New,Zeza Fleet,Gilgamesh 3 & Enkidou,key,7,,[“Hiryuu Call”],"[“Adamantite”, “Hiryuu Call”]",[“Hiryuu Call”],74,[“ship”],2
347,C0FB9A,New,Barrier Tower,Atmos,key,7,,[“Submarine Key”],"[“Adamantite”, “Submarine Key”]",[“Submarine Key”],75,[“tower”],2
348,C0FB9C,New,Mua Forest,Guardians,key,7,,[“Elder Branch”],"[“Adamantite”, “Elder Branch”]",[“Elder Branch”],76,[“burning”],2
349,C0FB9E,New,Exdeath's Castle,Carbunkle,key,7,,"[“Anti Barrier”, “Bracelet”]","[“Adamantite”, “Anti Barrier”, “Bracelet”]","[“Anti Barrier”, “Bracelet”]",77,[“castle”],2
350,C0FBA0,New,Exdeath's Castle,Gilgamesh 4,key,7,,"[“Anti Barrier”, “Bracelet”]","[“Adamantite”, “Anti Barrier”, “Bracelet”]","[“Anti Barrier”, “Bracelet”]",78,[“castle”],2
351,C0FBA2,New,Tule Pass,Antlion,key,7,,,"[“Adamantite”, “Anti Barrier”, “Bracelet”]","[“Anti Barrier”, “Bracelet”]",79,[“cave”],3
352,C0FBA4,New,Pyramid,Merugene,key,7,,[“Pyramid Page”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Pyramid Page”]","[“Anti Barrier”, “Bracelet”, “Pyramid Page”]",7A,[“desert”],3
353,C0FBA6,New,Bal Castle,Odin,key,8,,,"[“Adamantite”, “Anti Barrier”, “Bracelet”]","[“Anti Barrier”, “Bracelet”]",7B,[“cave”],3
354,C0FBA8,New,Great Trench,"Triton, Neregeid & Phobos",key,8,,"[“Submarine Key”, “Trench Page”]","[“Adamantite”, “Anti Barrier”, “Bracelet”, “Submarine Key”, “Trench Page”]","[“Anti Barrier”, “Bracelet”, “Submarine Key”, “Trench Page”]",7C,[“underwater”],3
355,C0FBAA,New,Fork Tower,Omniscient,key,8,,[“Elder Branch”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Elder Branch”]","[“Anti Barrier”, “Bracelet”, “Elder Branch”]",7D,[“tower”],3
356,C0FBAC,New,Fork Tower,Minotauros,key,8,,[“Elder Branch”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Elder Branch”]","[“Anti Barrier”, “Bracelet”, “Elder Branch”]",7E,[“tower”],3
357,C0FBAE,New,Istory Falls,Leviathan,key,8,,"[“Submarine Key”, “Falls Page”]","[“Adamantite”, “Anti Barrier”, “Bracelet”, “Submarine Key”, “Falls Page”]","[“Anti Barrier”, “Bracelet”, “Submarine Key”, “Falls Page”]",7F,[“underwater”],3
358,C0FBB0,New,Solitary Island,Stalker,key,8,,[“Shrine Page”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Shrine Page”]","[“Anti Barrier”, “Bracelet”, “Shrine Page”]",80,[“bridge”],3
359,C0FBB2,New,Walse Tower,GoGo,key,8,,[“Submarine Key”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Submarine Key”]","[“Anti Barrier”, “Bracelet”, “Submarine Key”]",81,[“underwater”],3
360,C0FBB4,New,North Mountain,Bahamut,key,8,,[“Mirage Radar”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Mirage Radar”]","[“Anti Barrier”, “Bracelet”, “Mirage Radar”]",82,[“mountainous”],3
