,check,reward,mib,seed
146,Flying Lonka Ruins Chest Elixir,Power Wrist,,8697747
147,Flying Lonka Ruins Chest Phoenix Down,Medicine,,8697747
148,Flying Lonka Ruins Chest Golden Shield,Coral Ring,,8697747
149,Steamship Chest Mythril Glove,Slow->Stop->Slow2,,8697747
150,Steamship Chest Full Moon,9000 gil,,8697747
151,Flying Lonka Ruins Chest Hi-Potion,Katana,,8697747
152,Flying Lonka Ruins Chest 5000,Full Moon,,8697747
153,Flying Lonka Ruins Chest Shuriken,Full Moon,,8697747
154,Flying Lonka Ruins Chest Ancient Sword,Catch,,8697747
155,Flying Lonka Ruins Chest Full Moon,Thief's Glove,,8697747
156,Flying Lonka Ruins Chest Power Wrist,Mythril Helm,,8697747
157,Flying Lonka Ruins Chest Ether,Coral Ring,,8697747
158,Flying Lonka Ruins Chest Cabin,Ragnarok,,8697747
159,Exdeath's Castle Chest Ether,Dimen Ability Progressive,,8697747
160,Exdeath's Castle Chest Diamond Shield,1000 gil,,8697747
161,Exdeath's Castle Chest Ice Shield,Condemn->Roulette->AquaRake,,8697747
162,Exdeath's Castle Chest Elixir,OmegaMedl,,8697747
163,Exdeath's Castle Chest Gale Bow,4400 gil,,8697747
164,Exdeath's Castle Chest IceBrand,Running Shoes,,8697747
165,Exdeath's Castle Chest Kotetsu,150 gil,,8697747
166,Exdeath's Castle Chest 9900,Full Moon,,8697747
167,Exdeath's Castle Chest 8000,Slow->Stop->Slow2,,8697747
168,Exdeath's Castle Chest DblLance,Black Ability Progressive,,8697747
169,Exdeath's Castle Chest Partisan,Wall Ring,,8697747
170,Exdeath's Castle Chest Pinwheel,Gale Bow,,8697747
171,Moogle Cave Chest 4400,Analyze,,8697747
172,Moogle Cave Chest Phoenix Down,Whip,,8697747
173,Moogle Village Chest Cabin,990 gil,,8697747
174,Moogle Village Chest Dancing Dagger,DiamndPlt,,8697747
175,Moogle Village Chest 1,Toad->Bio->Flare,,8697747
176,Moogle Village Chest 10000,Gungnir,,8697747
177,Moogle Village Chest Phoenix Down,2000 gil,,8697747
178,Moogle Village Chest Ether,1000 gil,,8697747
179,Moogle Village Chest Elf Cape,Berserker Job Crystal,,8697747
180,Bal Castle Chest Angel Gwn,Gale Bow,,8697747
181,Bal Castle Chest Hero Drink,2500 gil,,8697747
182,Bal Castle Chest Exit,Haste->Exit->Hast2->Quick,,8697747
183,Hiryuu Valley Skull Bone Mail,Partisan,,8697747
184,Hiryuu Valley Chest 5000,Dream Harp,,8697747
185,Hiryuu Valley Chest Cabin,Mute->Psych->Holy Sword,,8697747
186,Hiryuu Valley Chest 7000,Venom->Drain->Break,,8697747
187,Hiryuu Valley Chest Coronet,5000 gil,,8697747
188,Hiryuu Valley Chest Air Blade,Mute->Size->Bersk,,8697747
189,Hiryuu Valley Chest Phoenix Down,10000 gil,,8697747
190,Surgate Castle Chest 5000,Coronet,,8697747
191,Surgate Castle Chest Float,20000 gil,,8697747
192,Barrier Tower Chest Drain Sword,Magic Lamp,MIB,8697747
193,Barrier Tower Chest 9000,Angel Gwn,,8697747
194,Barrier Tower Chest 18000,Leather Shoes,,8697747
195,Barrier Tower Chest Gold Hairpin,Apollo's Harp,MIB,8697747
196,Mua Town Barrel Guardian,Ice Sword Magic Progressive,,8697747
197,Mua Forest Chest 2500,Phoenix Down,,8697747
198,Mua Forest Chest Ether,Partisan,,8697747
199,Mua Forest Chest 4900,Speed Drink,,8697747
200,Mua Forest Chest Phoenix Down,Iron Shield,,8697747
201,Mua Forest Chest 9500,Kunai,,8697747
202,Mua Forest Chest Soot,Elf Cape,,8697747
203,Mua Forest Chest Flametongue,Ether,,8697747
204,Mua Forest Chest Cabin,25000 gil,,8697747
205,Mua Forest Chest Giant Drink,Wall Ring,,8697747
206,Mua Forest Chest Elixir,Elixir,,8697747
207,Mua Forest Chest Morning Star,L4Qrter->L3Flare->L2Old->L5Doom,,8697747
208,Solitary Island Chest Ether,Agility,,8697747
209,Solitary Island Chest DragonFang,Tinkerbell,MIB,8697747
210,Pyramid Chest Elixir,Flametongue,MIB,8697747
211,Pyramid Chest Black Robe,Maiden's Kiss,MIB,8697747
212,Pyramid Chest Thornlet,Ramuh,MIB,8697747
213,Pyramid Chest DarkMatter,Chain Whip,MIB,8697747
214,Pyramid Chest Crystal Armor,Potion,MIB,8697747
215,Pyramid Chest Cursed Ring,BuildUp,,8697747
216,Pyramid Chest Ice Shield,Thief Knife,,8697747
217,Pyramid Chest Flame Shield,Coronet,,8697747
218,Pyramid Chest White Robe,DragonFang,,8697747
219,Pyramid Chest DarkSuit,Silver Plate,MIB,8697747
220,Pyramid Chest 9000,Eyedrop,MIB,8697747
221,Pyramid Chest 8000,BeastKiller,MIB,8697747
222,Pyramid Chest Earth Hammer,Sasuke,,8697747
223,Pyramid Chest 10000,Gauntlets,MIB,8697747
224,Pyramid Chest Cabin,Observe,,8697747
225,Pyramid Chest 12000,Red1->Red2->Red3->X-Magic,,8697747
226,Pyramid Chest Guard Ring,DarkSuit,MIB,8697747
227,Pyramid Chest Ribbon,Antidote,MIB,8697747
228,Pyramid Chest Gold Hairpin,Darkness Bow,,8697747
229,Solitary Island Chest 12000,Dimen Ability Progressive,,8697747
230,Solitary Island Chest Hi-Potion,Dancing Dagger,,8697747
231,Solitary Island Chest Protect Drink,Venom->Drain->Break Sword,,8697747
232,Solitary Island Chest BeastKiller,Speed Drink,,8697747
233,Solitary Island Chest RisingSun,Pinwheel,,8697747
234,Solitary Island Chest Guard Ring,Masamune,,8697747
235,Solitary Island Chest Crystal Helm,Golem,,8697747
236,Solitary Island Chest 9000,Venom->Drain->Break,,8697747
237,Solitary Island Chest Elixir,Knife,MIB,8697747
238,Solitary Island Chest DarkMatter,Toad->Bio->Flare,,8697747
239,Solitary Island Chest Circlet,Aero Blue Magic Progressive,,8697747
240,Fork Tower L. Chest Ether,Kick,,8697747
241,Fork Tower L. Chest Wonder Wand,12000 gil,,8697747
242,Fork Tower R. Chest Hi-Potion,CopperPlt,,8697747
243,Fork Tower R. Chest Defender Sword,White Robe,,8697747
244,Great Trench Chest Water Scroll,Red1->Red2->Red3->X-Magic,,8697747
245,Great Trench Chest Flame Ring,Iron Armor,,8697747
246,Great Trench Chest DragonFang,12000 gil,,8697747
247,Great Trench Chest Ether,Control,,8697747
248,Great Trench Chest Phoenix Down,Smoke,,8697747
249,Great Trench Chest Kaiser Knuckles,Earth Hammer,,8697747
250,Istory Falls Chest Ether,Red1->Red2->Red3->X-Magic,,8697747
251,Istory Falls Chest TurtleShell,Lamia's Tiara,,8697747
252,Istory Falls Chest Air Lance,Antdt->Image->Heal,,8697747
253,Istory Falls Chest Giant Drink,Mantra,,8697747
254,Istory Falls Chest RuneEdge,Potion,,8697747
255,Istory Falls Chest Guard Ring,Ice Sword Magic Progressive,,8697747
256,Istory Falls Chest Wall Ring,Magic->Love@Song,,8697747
257,Istory Falls Chest Phoenix Down,DragonFang,,8697747
258,Istory Falls Chest Enhancer,FrogSong->TinySong->MoonFlut,,8697747
259,Istory Falls Chest 12000,Bandana,,8697747
260,Istory Falls Chest Artemis Bow,Dimen Ability Progressive,,8697747
261,Istory Falls Chest Pinwheel,Pinwheel,,8697747
262,Istory Falls Chest Aegis Shield,DblLance,,8697747
263,Istory Falls Chest Giant's Axe,Drink,,8697747
264,Phoenix Tower Pot 5000,Water Scroll,MIB,8697747
265,Phoenix Tower Pot Phoenix Down,Water Scroll,,8697747
266,Phoenix Tower Pot 10000,Bronze Shield,MIB,8697747
267,Phoenix Tower Pot 15000,Potion,,8697747
268,Phoenix Tower Pot 20000,Cabin,MIB,8697747
269,Phoenix Tower Pot Avis Killer,Tent,,8697747
270,Phoenix Tower Pot 25000,LuckMallet,,8697747
271,Mirage Village Barrel Thief Knife,4900 gil,,8697747
272,Rift (Ruins) Chest Ether,9000 gil,,8697747
273,Rift (Ruins) Chest Cabin,Dragoon Job Crystal,,8697747
274,Rift (Ruins) Chest Elixir,Thunder Scroll,,8697747
275,Rift (Ruins) Chest DarkMatter,Ice Black Magic Progressive,,8697747
276,Rift (Ruins) Chest Drain Sword,Healing Staff,,8697747
277,Rift (Forest) Chest DragonFang,Mimic Job Crystal,,8697747
278,Rift (Forest) Chest Ribbon,Conjure,,8697747
279,Rift (Forest) Chest Enhancer,Battle Axe,,8697747
280,Rift (Forest) Chest Lillith Rod,10000 gil,,8697747
281,Rift (Cave) Chest Angel Ring,Chicken Knife,,8697747
282,Rift (Cave) Chest Coral Ring,DmgFloor,,8697747
283,Rift (Castle) Chest Thor Hammer,300 gil,,8697747
284,Rift (Castle) Chest Running Shoes,Bronze Helm,,8697747
285,Rift (Castle) Chest Red Shoes,Void->Demi->Qrter->Old,,8697747
286,Rift (Castle) Chest Rainbow Dress,Orialcon,,8697747
287,Rift (Castle) Chest ManEater,Equip Katana,,8697747
288,The Void Chest Pinwheel,Void->Demi->Qrter->Old,,8697747
289,The Void Chest Elixir,CornaJar,,8697747
290,The Void Chest Ragnarok,Giant's Gloves,MIB,8697747
291,WingRaptor New,CornaJar,,8697747
292,Karlabos New,Masamune,,8697747
293,Magisa & Forza New,Gold Hairpin,,8697747
294,ArchaeAvis New,Yoichi Bow,,8697747
295,Chim.Brain New,Genji Helm,,8697747
296,Puroboros New,DblLance,,8697747
297,Gilgamesh 1 New,Enhancer,,8697747
298,HiryuuPlant New,Sasuke,,8697747
299,Gilgamesh 3 & Enkidou New,Tempest,,8697747
300,Antlion New,Tinkerbell,,8697747
301,Merugene New,Dragon's Whisker,,8697747
302,"Triton, Neregeid & Phobos New",Genji Armor,,8697747
303,Minotauros New,Genji Helm,,8697747
304,Leviathan New,Genji Helm,,8697747
305,Stalker New,Elf Cape,,8697747
306,GoGo New,Angel Ring,,8697747
307,Bahamut New,Artemis Bow,,8697747
308,Ifrit New,Dragon's Whisker,,8697747
0,Wind Crystal Knight,Genji Gloves,,4624269
1,Wind Crystal BlueMage,Genji Helm,,4624269
2,Wind Crystal BlackMage,Cover,,4624269
3,Wind Crystal WhiteMage,Slash,,4624269
4,Wind Crystal Monk,Black Ability Progressive,,4624269
5,Wind Crystal Thief,GilToss,,4624269
6,Fire Crystal Mediator,Thief Knife,,4624269
7,Fire Crystal Geomancer,Angel Ring,,4624269
8,Fire Crystal Ninja,Giyaman,,4624269
9,Black Choco Crystals Bard,Tent,,4624269
10,Black Choco Crystals Hunter,Cursed Ring,,4624269
11,Earth Crystal Samurai,Slumber Sword,,4624269
12,Earth Crystal Dragoon,Giyaman,,4624269
13,Earth Crystal Chemist,Ancient Sword,,4624269
14,Earth Crystal Dancer,Ancient Sword,,4624269
15,Leviathan Esper Levia,Venom->Drain->Break,,4624269
16,Titan Titan,Holy Lance,,4624269
17,Carbuncle Crbnkl,Mute->Size->Bersk,,4624269
18,Syldra Syldra,MgcSword Ability Progressive,,4624269
19,Odin Odin,Dragon's Whisker,,4624269
20,Phoenix Phenix,Regen->Float->Reset->Xzone,,4624269
21,Bahamut Bahmut,Power Wrist,,4624269
22,Life (or Strength) Song from Crescent Town bard Vitality,Gauntlets,,4624269
23,Temptation Song at Lix Charm,DarkHood,,4624269
24,Love Song at Istory Love,Toad->Bio->Flare,,4624269
25,Requiem Song at Kelb Requiem,Dbl Grip,,4624269
26,Speed Song at Surgate Speed,Maiden's Kiss,,4624269
27,Magic Song at Ancient Library Magic,Knight Job Crystal,,4624269
28,Power Song from Crescent Town Power,Tricorn Hat,,4624269
29,Hero Song from Crescent Town Hero,Shuriken,,4624269
30,"Fork Tower, two Magics Holy",Gaia Gear,,4624269
31,"Fork Tower, two Magics Flare",GrnBeret,,4624269
32,Meteo Meteo,Elf Cape,,4624269
33,"5 potions in Wind Shrine, bottom left guy Potion",L4Qrter->L3Flare->L2Old->L5Doom,,4624269
34,"8 potions, Pirate after Torna Canal Key acquired Potion",Black Ability Progressive,,4624269
35,Chancellor at Tycoon Healing Staff,TimeMage Job Crystal,,4624269
36,Magisa & Forza Mythril Helm,Aero Blue Magic Progressive,,4624269
37,CornaJar at Kelb CornaJar,Dance,,4624269
38,Ribbon from girl in Rugor Ribbon,L4Qrter->L3Flare->L2Old->L5Doom,,4624269
39,Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Hero Drink,,4624269
40,12 Kuzar Events Assassin,Bandana,,4624269
41,12 Kuzar Events Apollo's Harp,Cotton Robe,,4624269
42,12 Kuzar Events Excalibur,Iron Shield,,4624269
43,12 Kuzar Events Flame Whip,Ice Sword Magic Progressive,,4624269
44,12 Kuzar Events Earth Bell,Elf Cape,,4624269
45,12 Kuzar Events Holy Lance,Armor->Shell->Wall->Dispel,,4624269
46,12 Kuzar Events Masamune,Leather Cap,,4624269
47,12 Kuzar Events Wizard Rod,Venom->Drain->Break Sword,,4624269
48,12 Kuzar Events Rune Axe,Remora->Shoat->Levia,,4624269
49,12 Kuzar Events Sage's Staff,Guard Ring,,4624269
50,12 Kuzar Events Sasuke,Equip Ribbon,,4624269
51,12 Kuzar Events Yoichi Bow,Sleep->Psych->Doom,,4624269
52,Shiva Shiva,Speed Drink,,4624269
53,Ifrit Ifrit,Mage Masher,,4624269
54,Water Crystal Samurai,RegalCut,,4624269
55,Water Crystal Berserker,GbnPnch->Emision->Missle->Blwfsh,,4624269
56,Water Crystal MysticKnight,Morning Star,,4624269
57,Water Crystal TimeMage,DmgFloor,,4624269
58,Water Crystal Summoner,????->Fusion->Exploder->DrkShock,,4624269
59,Brave Blade Brave Blade,Stealth Suit,,4624269
60,Chicken Knife Chicken Knife,Wall Ring,,4624269
61,Tycoon Castle Cabin Cabin,Summon Ability Progressive,,4624269
62,Walse Tower Chest GoGo,MP +X%,,4624269
63,Pyramid Top Pyramid Tablet,Dimen Ability Progressive,,4624269
64,Toad Event Toad,Power->Vitality Song,,4624269
65,Aegis Shield Chest Aegis Shield,Giant's Gloves,,4624269
66,Lone Wolf Barrel Cabin,Vampire->MindBlst->WhiteWind,,4624269
67,Lone Wolf Chest Thunder Whip,Ice Black Magic Progressive,,4624269
68,Moat Item Epee,Void->Demi->Qrter->Old,,4624269
69,Shop Backdoor Lamia Harp,Flail,,4624269
70,Top of the Falls Magic Lamp,Elf Cape,,4624269
71,Wind Shrine Chest Broadsword,Judgement Staff,,4624269
72,Beginner's House Chest Ether,Animals->Aim->X-Fight,,4624269
73,Beginner's House Chest 100,Shiva->Ramuh->Ifrit->Bahmut,,4624269
74,Beginner's House Chest Potion,Running Shoes,MIB,4624269
75,Beginner's House Chest Phoenix Down,Fire Black Magic Progressive,,4624269
76,Beginner's House Chest Tent,L4Qrter->L3Flare->L2Old->L5Doom,,4624269
77,Beginner's House Chest Leather Shoes,Black Robe,,4624269
78,Pirate's Cave Chest Leather Cap,5000 gil,,4624269
79,Pirate's Cave Chest Tent,12000 gil,,4624269
80,Pirate's Cave Chest Ether,Revivify,,4624269
81,Pirate's Cave Chest 300,Giant's Gloves,,4624269
82,Wind Shrine Chest Tent,Thunder Scroll,,4624269
83,Wind Shrine Chest Leather Cap,1000 gil,,4624269
84,Wind Shrine Chest Staff,Comet->Meteo,,4624269
85,Tule Barrel 150,Chocob->Titan->Golem->Odin,,4624269
86,Tule Box Leather Shoes,Antidote,,4624269
87,Tule Barrel Potion,Gaia Gear,,4624269
88,Tule Box Tent,Regen->Float->Reset->Xzone,,4624269
89,Tule Bush Phoenix Down,Red1->Red2->Red3->X-Magic,,4624269
90,Ship Graveyard Chest Flail,Staff,,4624269
91,Ship Graveyard Chest Phoenix Down,Murasume,,4624269
92,Ship Graveyard Chest Tent,Mimic Job Crystal,,4624269
93,Ship Graveyard Box 990,100 gil,,4624269
94,Ship Graveyard Chest Potion,9900 gil,,4624269
95,Ship Graveyard Chest Antidote,Flash->Time Slip->DethClaw,,4624269
96,Carwen Barrel Antidote,Lumina Robe,,4624269
97,Carwen Box Ice Rod,Ice Rod,,4624269
98,Carwen Pot 1000,490 gil,,4624269
99,North Mountain Chest Soft,100 gil,,4624269
100,North Mountain Chest Phoenix Down,Ribbon,,4624269
101,Walse Town Pot Glasses,Silver Harp,,4624269
102,Tycoon Castle Pot Hi-Potion,Equip Whips,,4624269
103,Tycoon Castle Pot Ether,Ice Rod,,4624269
104,Tycoon Castle Barrel Elixir,Dragoon Lance,,4624269
105,Tycoon Castle Barrel Phoenix Down,Equip Shield,,4624269
106,Tycoon Castle Barrel Cabin,12000 gil,,4624269
107,Tycoon Castle Pot Elixir,White Ability Progressive,,4624269
108,Tycoon Castle Pot Phoenix Down,Orialcon,,4624269
109,Tycoon Castle Pot Maiden's Kiss,Protect Drink,,4624269
110,Tycoon Castle Chest Shuriken,WhiteMage Job Crystal,,4624269
111,Tycoon Castle Chest Giyaman,150 gil,,4624269
112,Tycoon Castle Chest Katana,Katana,,4624269
113,Walse Castle Chest Elf Cape,12000 gil,,4624269
114,Walse Castle Pot 1000,Giant's Gloves,,4624269
115,Walse Castle Pot Drag,Summon Ability Progressive,,4624269
116,Walse Castle Box 490,Knife,,4624269
117,Walse Castle Barrel Tent,Bandana,,4624269
118,Walse Castle Barrel Phoenix Down,9000 gil,,4624269
119,Walse Tower Chest Silk robe,Tinkerbell,,4624269
120,Walse Tower Chest Maiden's Kiss,Iron Armor,,4624269
121,Walse Tower Chest Silver Armlet,9000 gil,,4624269
122,Walse Tower Chest Ether,Evade,,4624269
123,Tycoon Meteor Chest Phoenix Down,Phoenix Down,,4624269
124,Karnak Castle Chest Gungnir,Wizard Rod,MIB,4624269
125,Karnak Castle Chest Thunder Scroll,Hero Drink,,4624269
126,Karnak Castle Chest 2000,Staff of Light,MIB,4624269
127,Karnak Castle Chest Elixir,Ogre Killer,MIB,4624269
128,Karnak Castle Chest Ribbon,Eyedrop,MIB,4624269
129,Karnak Castle Chest Shuriken,Kunai,,4624269
130,Karnak Castle Chest Elf Cape,Drain Sword,MIB,4624269
131,Karnak Castle Chest Guardian,TurtleShell,,4624269
132,Karnak Town Barrel Fire Rod,20000 gil,,4624269
133,Steamship Chest Cabin,Sasuke,,4624269
134,Steamship Chest Phoenix Down,12000 gil,,4624269
135,Steamship Chest Elixir,20000 gil,,4624269
136,Steamship Chest GrnBeret,Crystal Helm,,4624269
137,Steamship Chest Thief's Glove,4900 gil,,4624269
138,Ancient Library Chest Ether,Kick,,4624269
139,Ancient Library Chest Phoenix Down,Scan->Charm->Holy,,4624269
140,Ancient Library Chest Stealth Suit,10000 gil,,4624269
141,Jacole Cave Chest Shuriken,Sylph->Crbnkl->Phenix->Syldra,,4624269
142,Jacole Cave Chest Tent,10000 gil,,4624269
143,Ruined City Chest Shuriken,2000 gil,,4624269
144,Ruined City Chest Size,1000 gil,,4624269
145,Flying Lonka Ruins Chest Golden Armor,Black Robe,,4624269
146,Flying Lonka Ruins Chest Elixir,Capture,,4624269
147,Flying Lonka Ruins Chest Phoenix Down,HiPotion,,4624269
148,Flying Lonka Ruins Chest Golden Shield,Air Blade,,4624269
149,Steamship Chest Mythril Glove,Brave Blade,,4624269
150,Steamship Chest Full Moon,Power Wrist,,4624269
151,Flying Lonka Ruins Chest Hi-Potion,Pray,,4624269
152,Flying Lonka Ruins Chest 5000,9000 gil,,4624269
153,Flying Lonka Ruins Chest Shuriken,Flame Ring,,4624269
154,Flying Lonka Ruins Chest Ancient Sword,Flametongue,,4624269
155,Flying Lonka Ruins Chest Full Moon,Gold Hairpin,,4624269
156,Flying Lonka Ruins Chest Power Wrist,Thunder Rod,,4624269
157,Flying Lonka Ruins Chest Ether,Antdt->Image->Heal,,4624269
158,Flying Lonka Ruins Chest Cabin,Giant Drink,,4624269
159,Exdeath's Castle Chest Ether,Monk Job Crystal,,4624269
160,Exdeath's Castle Chest Diamond Shield,Ice Rod,,4624269
161,Exdeath's Castle Chest Ice Shield,Silver Harp,,4624269
162,Exdeath's Castle Chest Elixir,Iron Helm,,4624269
163,Exdeath's Castle Chest Gale Bow,Antdt->Image->Heal,,4624269
164,Exdeath's Castle Chest IceBrand,Smoke,,4624269
165,Exdeath's Castle Chest Kotetsu,9500 gil,,4624269
166,Exdeath's Castle Chest 9900,4400 gil,,4624269
167,Exdeath's Castle Chest 8000,Bolt Black Magic Progressive,,4624269
168,Exdeath's Castle Chest DblLance,BuildUp,,4624269
169,Exdeath's Castle Chest Partisan,1000 gil,,4624269
170,Exdeath's Castle Chest Pinwheel,Strength,,4624269
171,Moogle Cave Chest 4400,4900 gil,,4624269
172,Moogle Cave Chest Phoenix Down,Barrier,,4624269
173,Moogle Village Chest Cabin,Elf Cape,,4624269
174,Moogle Village Chest Dancing Dagger,2000 gil,,4624269
175,Moogle Village Chest 1,Soft,,4624269
176,Moogle Village Chest 10000,2000 gil,,4624269
177,Moogle Village Chest Phoenix Down,10000 gil,,4624269
178,Moogle Village Chest Ether,Bandana,,4624269
179,Moogle Village Chest Elf Cape,Defender Sword,,4624269
180,Bal Castle Chest Angel Gwn,Mythril Sword,,4624269
181,Bal Castle Chest Hero Drink,18000 gil,,4624269
182,Bal Castle Chest Exit,Fire Rod,,4624269
183,Hiryuu Valley Skull Bone Mail,Chocob->Titan->Golem->Odin,,4624269
184,Hiryuu Valley Chest 5000,Ice Bow,,4624269
185,Hiryuu Valley Chest Cabin,Mediator Job Crystal,,4624269
186,Hiryuu Valley Chest 7000,Shiva->Ramuh->Ifrit->Bahmut,,4624269
187,Hiryuu Valley Chest Coronet,Mimic,,4624269
188,Hiryuu Valley Chest Air Blade,Vampire->MindBlst->WhiteWind,,4624269
189,Hiryuu Valley Chest Phoenix Down,HP +X%,,4624269
190,Surgate Castle Chest 5000,1000 gil,,4624269
191,Surgate Castle Chest Float,2500 gil,,4624269
192,Barrier Tower Chest Drain Sword,Leather Cap,,4624269
193,Barrier Tower Chest 9000,Silver Plate,MIB,4624269
194,Barrier Tower Chest 18000,Gauntlets,MIB,4624269
195,Barrier Tower Chest Gold Hairpin,Dream Harp,,4624269
196,Mua Town Barrel Guardian,Summon Ability Progressive,,4624269
197,Mua Forest Chest 2500,Staff,,4624269
198,Mua Forest Chest Ether,White Ability Progressive,,4624269
199,Mua Forest Chest 4900,MgcSword Ability Progressive,,4624269
200,Mua Forest Chest Phoenix Down,Phoenix Down,,4624269
201,Mua Forest Chest 9500,9900 gil,,4624269
202,Mua Forest Chest Soot,Control,,4624269
203,Mua Forest Chest Flametongue,8000 gil,,4624269
204,Mua Forest Chest Cabin,Thunder Rod,,4624269
205,Mua Forest Chest Giant Drink,Earth Hammer,,4624269
206,Mua Forest Chest Elixir,Equip Armors,,4624269
207,Mua Forest Chest Morning Star,Morning Star,,4624269
208,Solitary Island Chest Ether,Life->Life2,,4624269
209,Solitary Island Chest DragonFang,Venom->Drain->Break Sword,,4624269
210,Pyramid Chest Elixir,Thor Hammer,,4624269
211,Pyramid Chest Black Robe,Assassin,,4624269
212,Pyramid Chest Thornlet,DarkHood,,4624269
213,Pyramid Chest DarkMatter,Staff of Light,MIB,4624269
214,Pyramid Chest Crystal Armor,Wind Spear,,4624269
215,Pyramid Chest Cursed Ring,Slumber Sword,,4624269
216,Pyramid Chest Ice Shield,Flametongue,,4624269
217,Pyramid Chest Flame Shield,Avis Killer,MIB,4624269
218,Pyramid Chest White Robe,Mythril Spear,MIB,4624269
219,Pyramid Chest DarkSuit,Full Moon,MIB,4624269
220,Pyramid Chest 9000,Mythril Helm,,4624269
221,Pyramid Chest 8000,Elf Cape,MIB,4624269
222,Pyramid Chest Earth Hammer,Gale Bow,,4624269
223,Pyramid Chest 10000,Fire Sword Magic Progressive,,4624269
224,Pyramid Chest Cabin,Ice Bow,MIB,4624269
225,Pyramid Chest 12000,Kodachi,,4624269
226,Pyramid Chest Guard Ring,Ice Rod,MIB,4624269
227,Pyramid Chest Ribbon,Spear,MIB,4624269
228,Pyramid Chest Gold Hairpin,Coral Ring,MIB,4624269
229,Solitary Island Chest 12000,Charm->Hero@Song,,4624269
230,Solitary Island Chest Hi-Potion,Charm->Hero@Song,,4624269
231,Solitary Island Chest Protect Drink,Lamia's Harp,,4624269
232,Solitary Island Chest BeastKiller,Angel Gwn,,4624269
233,Solitary Island Chest RisingSun,Elixir,MIB,4624269
234,Solitary Island Chest Guard Ring,RisingSun,,4624269
235,Solitary Island Chest Crystal Helm,GrnBeret,,4624269
236,Solitary Island Chest 9000,Mythril Helm,MIB,4624269
237,Solitary Island Chest Elixir,Guard Ring,,4624269
238,Solitary Island Chest DarkMatter,Summon Ability Progressive,,4624269
239,Solitary Island Chest Circlet,FrogSong->TinySong->MoonFlut,,4624269
240,Fork Tower L. Chest Ether,Wonder Wand,,4624269
241,Fork Tower L. Chest Wonder Wand,5000 gil,,4624269
242,Fork Tower R. Chest Hi-Potion,2000 gil,,4624269
243,Fork Tower R. Chest Defender Sword,CopperPlt,,4624269
244,Great Trench Chest Water Scroll,15000 gil,,4624269
245,Great Trench Chest Flame Ring,Life->Life2,,4624269
246,Great Trench Chest DragonFang,Circlet,,4624269
247,Great Trench Chest Ether,Rod,,4624269
248,Great Trench Chest Phoenix Down,9500 gil,,4624269
249,Great Trench Chest Kaiser Knuckles,Kaiser Knuckles,,4624269
250,Istory Falls Chest Ether,Dragoon Job Crystal,,4624269
251,Istory Falls Chest TurtleShell,2000 gil,,4624269
252,Istory Falls Chest Air Lance,Condemn->Roulette->AquaRake,,4624269
253,Istory Falls Chest Giant Drink,Counter,,4624269
254,Istory Falls Chest RuneEdge,Tiger Mask,,4624269
255,Istory Falls Chest Guard Ring,Golden Shield,,4624269
256,Istory Falls Chest Wall Ring,Magic->Love@Song,,4624269
257,Istory Falls Chest Phoenix Down,Equip Swords,,4624269
258,Istory Falls Chest Enhancer,Dimen Ability Progressive,,4624269
259,Istory Falls Chest 12000,25000 gil,,4624269
260,Istory Falls Chest Artemis Bow,Equip Bows,,4624269
261,Istory Falls Chest Pinwheel,Flame Ring,,4624269
262,Istory Falls Chest Aegis Shield,Aegis Shield,,4624269
263,Istory Falls Chest Giant's Axe,990 gil,,4624269
264,Phoenix Tower Pot 5000,Cursed Shield,MIB,4624269
265,Phoenix Tower Pot Phoenix Down,Lamia's Harp,,4624269
266,Phoenix Tower Pot 10000,Wizard Rod,,4624269
267,Phoenix Tower Pot 15000,Drain Sword,MIB,4624269
268,Phoenix Tower Pot 20000,Chocob->Titan->Golem->Odin,,4624269
269,Phoenix Tower Pot Avis Killer,Tricorn Hat,MIB,4624269
270,Phoenix Tower Pot 25000,Leather Shield,,4624269
271,Mirage Village Barrel Thief Knife,5000 gil,,4624269
272,Rift (Ruins) Chest Ether,Sylph->Crbnkl->Phenix->Syldra,,4624269
273,Rift (Ruins) Chest Cabin,Bronze Armor,,4624269
274,Rift (Ruins) Chest Elixir,Aero Blue Magic Progressive,,4624269
275,Rift (Ruins) Chest DarkMatter,Katana,,4624269
276,Rift (Ruins) Chest Drain Sword,8000 gil,,4624269
277,Rift (Forest) Chest DragonFang,Bizen,,4624269
278,Rift (Forest) Chest Ribbon,Cure White Magic Progressive,,4624269
279,Rift (Forest) Chest Enhancer,Comet->Meteo,,4624269
280,Rift (Forest) Chest Lillith Rod,Morning Star,,4624269
281,Rift (Cave) Chest Angel Ring,Bizen,,4624269
282,Rift (Cave) Chest Coral Ring,5000 gil,,4624269
283,Rift (Castle) Chest Thor Hammer,Ninja Job Crystal,,4624269
284,Rift (Castle) Chest Running Shoes,Gauntlets,,4624269
285,Rift (Castle) Chest Red Shoes,Ice Bow,,4624269
286,Rift (Castle) Chest Rainbow Dress,GbnPnch->Emision->Missle->Blwfsh,,4624269
287,Rift (Castle) Chest ManEater,Ragnarok,,4624269
288,The Void Chest Pinwheel,BlackMage Job Crystal,,4624269
289,The Void Chest Elixir,1000 gil,,4624269
290,The Void Chest Ragnarok,Killer Bow,MIB,4624269
