item_id,readable_name,valid,type,subtype,value,max_count,tier,related_jobs
CC,Thornlet,TRUE,armor,helm,5,3,5,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
CD,Ice Shield,TRUE,armor,shield,6,2,6,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
CE,Cursed Shield,TRUE,armor,shield,1,3,1,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
CF,Rainbow Dress,TRUE,armor,armor,5,1,5,[“Dancer”]
D0,Red Shoes,TRUE,armor,acc,5,1,5,[“Dancer”]
D1,<dummy>,FALSE,dummy,dummy,0,0,0,[]
D2,<dummy>,FALSE,dummy,dummy,0,0,0,[]
D3,<dummy>,FALSE,dummy,dummy,0,0,0,[]
D4,<dummy>,FALSE,dummy,dummy,0,0,0,[]
D5,<dummy>,FALSE,dummy,dummy,0,0,0,[]
D6,<dummy>,FALSE,dummy,dummy,0,0,0,[]
D7,<dummy>,FALSE,dummy,dummy,0,0,0,[]
D8,<dummy>,FALSE,dummy,dummy,0,0,0,[]
D9,<dummy>,FALSE,dummy,dummy,0,0,0,[]
DA,<dummy>,FALSE,dummy,dummy,0,0,0,[]
DB,<dummy>,FALSE,dummy,dummy,0,0,0,[]
DC,<dummy>,FALSE,dummy,dummy,0,0,0,[]
DD,<dummy>,FALSE,dummy,dummy,0,0,0,[]
DE,<dummy>,FALSE,dummy,dummy,0,0,0,[]
DF,<dummy>,FALSE,dummy,dummy,0,0,0,[]
E0,Potion,TRUE,item,restore,1,9,1,[“All”]
E1,HiPotion,TRUE,item,restore,1,9,1,[“All”]
E2,Ether,TRUE,item,restore,1,9,1,[“All”]
E3,Elixir,TRUE,item,restore,1,9,1,[“All”]
E4,Phoenix Down,TRUE,item,restore,1,9,1,[“All”]
E5,Maiden's Kiss,TRUE,item,restore,1,9,1,[“All”]
E6,Revivify,TRUE,item,restore,1,9,1,[“All”]
E7,TurtleShell,TRUE,item,mix,5,3,6,[“Chemist”]
E8,Antidote,TRUE,item,restore,1,9,1,[“All”]
E9,Eyedrop,TRUE,item,restore,1,9,1,[“All”]
EA,DragonFang,TRUE,item,mix,5,3,6,[“Chemist”]
EB,DarkMatter,TRUE,item,mix,5,3,6,[“Chemist”]
EC,Soft,TRUE,item,restore,1,9,1,[“All”]
ED,LuckMallet,TRUE,item,restore,1,9,1,[“All”]
EE,<dummy>,FALSE,dummy,dummy,0,0,0,[]
EF,Magic Lamp,TRUE,item,special,7,1,7,[“All”]
F0,Tent,TRUE,item,restore,1,,1,[“All”]
F1,Cabin,TRUE,item,restore,1,,1,[“All”]
F2,Giant Drink,TRUE,item,mix,1,3,1,[“Chemist”]
F3,Power Drink,TRUE,item,mix,1,3,1,[“Chemist”]
F4,Speed Drink,TRUE,item,mix,1,3,1,[“Chemist”]
F5,Protect Drink,TRUE,item,mix,1,3,1,[“Chemist”]
F6,Hero Drink,TRUE,item,mix,1,3,1,[“Chemist”]
F7,DrgnCrest,FALSE,item,special,1,0,1,[]
F8,OmegaMedl,FALSE,item,special,1,0,1,[]
F9,Ramuh,TRUE,item,summon,2,1,2,[“Summoner”]
FA,Shoat,TRUE,item,summon,4,1,4,[“Summoner”]
FB,Golem,TRUE,item,summon,4,1,4,[“Summoner”]
FC,Flame Scroll,TRUE,item,throw,1,3,1,[“Ninja”]
FD,Water Scroll,TRUE,item,throw,1,3,1,[“Ninja”]
FE,Thunder Scroll,TRUE,item,throw,1,3,1,[“Ninja”]
FF,<dummy>,FALSE,dummy,dummy,0,0,0,[]
