index,weapon_name_menu,weapon_name_textbox,weapon_str,weapon_type,tier,magic_id,magic_type,killer_type,ability,ability_id,adjustment_type,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12
215,<Swrd>TinySong,TinySong Knightsword,34,knightsword,1,8A,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
216,<Swrd>Flash,Flash Knightsword,28,knightsword,1,8B,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
217,<Swrd>Time Sli,Time Slip Knightsword,27,knightsword,1,8C,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
218,<Swrd>MoonFlut,MoonFlut Knightsword,28,knightsword,1,8D,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
219,<Swrd>DethClaw,DethClaw Knightsword,50,knightsword,2,8E,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
220,<Swrd>Aero,Aero Knightsword,45,knightsword,1,8F,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
221,<Swrd>Aero 2,Aero 2 Knightsword,66,knightsword,2,90,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
222,<Swrd>Aero 3,Aero 3 Knightsword,90,knightsword,5,91,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
223,<Swrd>Emission,Emission Knightsword,55,knightsword,2,92,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
224,<Swrd>GblinPnc,GblinPnch Knightsword,20,knightsword,1,93,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
225,<Swrd>DrkShock,DrkShock Knightsword,88,knightsword,4,94,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
226,<Swrd>GuardOff,GuardOff Knightsword,77,knightsword,3,95,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
227,<Swrd>Fusion,Fusion Knightsword,40,knightsword,2,96,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
228,<Swrd>MindBlst,MindBlst Knightsword,98,knightsword,5,97,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
229,<Swrd>Vampire,Vampire Knightsword,24,knightsword,1,98,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
230,<Swrd>Hammer,Hammer Knightsword,32,knightsword,1,99,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
231,<Swrd>BigGuard,BigGuard Knightsword,113,knightsword,7,9A,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
232,<Swrd>Exploder,Exploder Knightsword,43,knightsword,2,9B,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
233,<Swrd>????,???? Knightsword,27,knightsword,1,9C,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
234,<Swrd>Blowfish,Blowfish Knightsword,70,knightsword,5,9D,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
235,<Swrd>WhiteWin,WhiteWind Knightsword,79,knightsword,5,9E,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
236,<Swrd>Missile,Missile Knightsword,44,knightsword,2,9F,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
237,<Axe>Cure,Cure Axe,20,axe,1,12,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
238,<Axe>Scan,Scan Axe,23,axe,1,13,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
239,<Axe>Antdt,Antdt Axe,26,axe,1,14,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
240,<Axe>Mute,Mute Axe,29,axe,1,15,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
241,<Axe>Armor,Armor Axe,32,axe,1,16,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
242,<Axe>Size,Size Axe,35,axe,1,17,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
243,<Axe>Cure2,Cure2 Axe,38,axe,2,18,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
244,<Axe>Life,Life Axe,41,axe,2,19,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
245,<Axe>Charm,Charm Axe,44,axe,2,1A,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
246,<Axe>Image,Image Axe,47,axe,2,1B,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
247,<Axe>Shell,Shell Axe,50,axe,2,1C,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
248,<Axe>Heal,Heal Axe,53,axe,3,1D,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
249,<Axe>Cure3,Cure3 Axe,56,axe,4,1E,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
250,<Axe>Wall,Wall Axe,59,axe,3,1F,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
251,<Axe>Bersk,Bersk Axe,62,axe,3,20,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
252,<Axe>Life2,Life2 Axe,65,axe,4,21,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
253,<Axe>Holy,Holy Axe,68,axe,7,22,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
254,<Axe>Dispel,Dispel Axe,71,axe,3,23,White,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
255,<Axe>Fire,Fire Axe,51,axe,1,24,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
256,<Axe>Ice,Ice Axe,51,axe,1,25,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
257,<Axe>Bolt,Bolt Axe,51,axe,1,26,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
258,<Axe>Venom,Venom Axe,63,axe,1,27,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
259,<Axe>Sleep,Sleep Axe,64,axe,1,28,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
260,<Axe>Toad,Toad Axe,66,axe,1,29,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
261,<Axe>Fire2,Fire2 Axe,72,axe,2,2A,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
262,<Axe>Ice2,Ice2 Axe,72,axe,2,2B,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
263,<Axe>Bolt2,Bolt2 Axe,72,axe,2,2C,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
264,<Axe>Drain,Drain Axe,80,axe,2,2D,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
265,<Axe>Break,Break Axe,87,axe,3,2E,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
266,<Axe>Bio,Bio Axe,87,axe,3,2F,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
267,<Axe>Fire3,Fire3 Axe,96,axe,4,30,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
268,<Axe>Ice3,Ice3 Axe,96,axe,4,31,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
269,<Axe>Bolt3,Bolt3 Axe,96,axe,4,32,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
270,<Axe>Flare,Flare Axe,127,axe,7,33,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
271,<Axe>Doom,Doom Axe,122,axe,5,34,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
272,<Axe>Psych,Psych Axe,109,axe,3,35,Black,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
273,<Axe>Slow,Slow Axe,66,axe,1,37,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
274,<Axe>Regen,Regen Axe,70,axe,1,38,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
275,<Axe>Haste,Haste Axe,73,axe,1,3A,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
276,<Axe>Float,Float Axe,74,axe,1,3B,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
277,<Axe>Demi,Demi Axe,79,axe,1,3C,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
278,<Axe>Stop,Stop Axe,87,axe,2,3D,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
279,<Axe>Comet,Comet Axe,109,axe,3,3F,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
280,<Axe>Slow2,Slow2 Axe,98,axe,3,40,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
281,<Axe>Qrter,Qrter Axe,114,axe,4,42,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
282,<Axe>Hast2,Hast2 Axe,111,axe,4,43,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
283,<Axe>Old,Old Axe,116,axe,3,44,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
284,<Axe>Meteo,Meteo Axe,127,axe,7,45,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
285,<Axe>Xzone,Xzone Axe,122,axe,4,47,Time,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
286,<Axe>Condemn,Condemn Axe,51,axe,4,82,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
287,<Axe>Roulette,Roulette Axe,29,axe,1,83,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
288,<Axe>AquaRake,AquaRake Axe,64,axe,2,84,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
289,<Axe>L5 Doom,L5 Doom Axe,101,axe,6,85,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
290,<Axe>L4 Qrter,L4 Qrter Axe,82,axe,4,86,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
291,<Axe>L2 Old,L2 Old Axe,82,axe,6,87,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
292,<Axe>L3 Flare,L3 Flare Axe,82,axe,4,88,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
293,<Axe>FrogSong,FrogSong Axe,39,axe,1,89,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
294,<Axe>TinySong,TinySong Axe,40,axe,1,8A,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
295,<Axe>Flash,Flash Axe,34,axe,1,8B,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
296,<Axe>Time Sli,Time Slip Axe,33,axe,1,8C,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
297,<Axe>MoonFlut,MoonFlut Axe,34,axe,1,8D,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
298,<Axe>DethClaw,DethClaw Axe,56,axe,2,8E,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
299,<Axe>Aero,Aero Axe,51,axe,1,8F,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
300,<Axe>Aero 2,Aero 2 Axe,72,axe,2,90,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
301,<Axe>Aero 3,Aero 3 Axe,96,axe,5,91,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
302,<Axe>Emission,Emission Axe,61,axe,2,92,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
303,<Axe>GblinPnc,GblinPnch Axe,26,axe,1,93,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
304,<Axe>DrkShock,DrkShock Axe,94,axe,4,94,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
305,<Axe>GuardOff,GuardOff Axe,83,axe,3,95,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
306,<Axe>Fusion,Fusion Axe,46,axe,2,96,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
307,<Axe>MindBlst,MindBlst Axe,104,axe,5,97,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
308,<Axe>Vampire,Vampire Axe,30,axe,1,98,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
309,<Axe>Hammer,Hammer Axe,38,axe,1,99,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
310,<Axe>BigGuard,BigGuard Axe,119,axe,7,9A,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
311,<Axe>Exploder,Exploder Axe,49,axe,2,9B,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
312,<Axe>????,???? Axe,33,axe,1,9C,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
313,<Axe>Blowfish,Blowfish Axe,76,axe,5,9D,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
314,<Axe>WhiteWin,WhiteWind Axe,85,axe,5,9E,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
315,<Axe>Missile,Missile Axe,50,axe,2,9F,Blue,,,,spell,00,80,07,80,59,00,78,17,34,50,00,00
316,<Katn>Cure,Cure Katana,12,katana,1,12,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
317,<Katn>Scan,Scan Katana,15,katana,1,13,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
318,<Katn>Antdt,Antdt Katana,18,katana,1,14,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
319,<Katn>Mute,Mute Katana,21,katana,1,15,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
320,<Katn>Armor,Armor Katana,24,katana,1,16,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
321,<Katn>Size,Size Katana,27,katana,1,17,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
322,<Katn>Cure2,Cure2 Katana,30,katana,2,18,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
323,<Katn>Life,Life Katana,33,katana,2,19,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
324,<Katn>Charm,Charm Katana,36,katana,2,1A,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
325,<Katn>Image,Image Katana,39,katana,2,1B,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
326,<Katn>Shell,Shell Katana,42,katana,2,1C,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
327,<Katn>Heal,Heal Katana,45,katana,3,1D,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
328,<Katn>Cure3,Cure3 Katana,48,katana,4,1E,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
329,<Katn>Wall,Wall Katana,51,katana,3,1F,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
330,<Katn>Bersk,Bersk Katana,54,katana,3,20,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
331,<Katn>Life2,Life2 Katana,57,katana,4,21,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
332,<Katn>Holy,Holy Katana,60,katana,7,22,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
333,<Katn>Dispel,Dispel Katana,63,katana,3,23,White,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
334,<Katn>Fire,Fire Katana,43,katana,1,24,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
335,<Katn>Ice,Ice Katana,43,katana,1,25,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
336,<Katn>Bolt,Bolt Katana,43,katana,1,26,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
337,<Katn>Venom,Venom Katana,55,katana,1,27,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
338,<Katn>Sleep,Sleep Katana,56,katana,1,28,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
339,<Katn>Toad,Toad Katana,58,katana,1,29,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
340,<Katn>Fire2,Fire2 Katana,64,katana,2,2A,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
341,<Katn>Ice2,Ice2 Katana,64,katana,2,2B,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
342,<Katn>Bolt2,Bolt2 Katana,64,katana,2,2C,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
343,<Katn>Drain,Drain Katana,72,katana,2,2D,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
344,<Katn>Break,Break Katana,79,katana,3,2E,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
345,<Katn>Bio,Bio Katana,79,katana,3,2F,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
346,<Katn>Fire3,Fire3 Katana,88,katana,4,30,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
347,<Katn>Ice3,Ice3 Katana,88,katana,4,31,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
348,<Katn>Bolt3,Bolt3 Katana,88,katana,4,32,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
349,<Katn>Flare,Flare Katana,119,katana,7,33,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
350,<Katn>Doom,Doom Katana,114,katana,5,34,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
351,<Katn>Psych,Psych Katana,101,katana,3,35,Black,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
352,<Katn>Slow,Slow Katana,58,katana,1,37,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
353,<Katn>Regen,Regen Katana,62,katana,1,38,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
354,<Katn>Haste,Haste Katana,65,katana,1,3A,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
355,<Katn>Float,Float Katana,66,katana,1,3B,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
356,<Katn>Demi,Demi Katana,71,katana,1,3C,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
357,<Katn>Stop,Stop Katana,79,katana,2,3D,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
358,<Katn>Comet,Comet Katana,101,katana,3,3F,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
359,<Katn>Slow2,Slow2 Katana,90,katana,3,40,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
360,<Katn>Qrter,Qrter Katana,106,katana,4,42,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
361,<Katn>Hast2,Hast2 Katana,103,katana,4,43,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
362,<Katn>Old,Old Katana,108,katana,3,44,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
363,<Katn>Meteo,Meteo Katana,119,katana,7,45,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
364,<Katn>Xzone,Xzone Katana,114,katana,4,47,Time,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
365,<Katn>Condemn,Condemn Katana,43,katana,4,82,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
366,<Katn>Roulette,Roulette Katana,21,katana,1,83,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
367,<Katn>AquaRake,AquaRake Katana,56,katana,2,84,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
368,<Katn>L5 Doom,L5 Doom Katana,93,katana,6,85,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
369,<Katn>L4 Qrter,L4 Qrter Katana,74,katana,4,86,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
370,<Katn>L2 Old,L2 Old Katana,74,katana,6,87,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
371,<Katn>L3 Flare,L3 Flare Katana,74,katana,4,88,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
372,<Katn>FrogSong,FrogSong Katana,31,katana,1,89,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
373,<Katn>TinySong,TinySong Katana,32,katana,1,8A,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
374,<Katn>Flash,Flash Katana,26,katana,1,8B,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
375,<Katn>Time Sli,Time Slip Katana,25,katana,1,8C,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
376,<Katn>MoonFlut,MoonFlut Katana,26,katana,1,8D,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
377,<Katn>DethClaw,DethClaw Katana,48,katana,2,8E,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
378,<Katn>Aero,Aero Katana,43,katana,1,8F,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
379,<Katn>Aero 2,Aero 2 Katana,64,katana,2,90,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
380,<Katn>Aero 3,Aero 3 Katana,88,katana,5,91,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
381,<Katn>Emission,Emission Katana,53,katana,2,92,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
382,<Katn>GblinPnc,GblinPnch Katana,18,katana,1,93,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
383,<Katn>DrkShock,DrkShock Katana,86,katana,4,94,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
384,<Katn>GuardOff,GuardOff Katana,75,katana,3,95,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
385,<Katn>Fusion,Fusion Katana,38,katana,2,96,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
386,<Katn>MindBlst,MindBlst Katana,96,katana,5,97,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
387,<Katn>Vampire,Vampire Katana,22,katana,1,98,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
388,<Katn>Hammer,Hammer Katana,30,katana,1,99,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
389,<Katn>BigGuard,BigGuard Katana,111,katana,7,9A,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
390,<Katn>Exploder,Exploder Katana,41,katana,2,9B,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
391,<Katn>????,???? Katana,25,katana,1,9C,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
392,<Katn>Blowfish,Blowfish Katana,68,katana,5,9D,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
393,<Katn>WhiteWin,WhiteWind Katana,77,katana,5,9E,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
394,<Katn>Missile,Missile Katana,42,katana,2,9F,Blue,,,,spell,00,80,09,80,5a,00,78,2a,37,0c,00,00
395,<Rod>Fire,Fire Rod,36,rod,1,24,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
396,<Rod>Ice,Ice Rod,36,rod,1,25,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
397,<Rod>Bolt,Bolt Rod,36,rod,1,26,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
398,<Rod>Venom,Venom Rod,48,rod,1,27,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
399,<Rod>Sleep,Sleep Rod,49,rod,1,28,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
400,<Rod>Toad,Toad Rod,51,rod,1,29,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
401,<Rod>Fire2,Fire2 Rod,57,rod,2,2A,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
402,<Rod>Ice2,Ice2 Rod,57,rod,2,2B,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
403,<Rod>Bolt2,Bolt2 Rod,57,rod,2,2C,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
404,<Rod>Drain,Drain Rod,65,rod,2,2D,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
405,<Rod>Break,Break Rod,72,rod,3,2E,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
406,<Rod>Bio,Bio Rod,72,rod,3,2F,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
407,<Rod>Fire3,Fire3 Rod,81,rod,4,30,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
408,<Rod>Ice3,Ice3 Rod,81,rod,4,31,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
409,<Rod>Bolt3,Bolt3 Rod,81,rod,4,32,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
410,<Rod>Flare,Flare Rod,112,rod,7,33,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
411,<Rod>Doom,Doom Rod,107,rod,5,34,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
412,<Rod>Psych,Psych Rod,94,rod,3,35,Black,,,,spell,38,04,4a,88,23,00,78,08,3b,46,00,00
413,<Staf>Cure,Cure Staff,3,staff,1,12,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
414,<Staf>Scan,Scan Staff,6,staff,1,13,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
415,<Staf>Antdt,Antdt Staff,9,staff,1,14,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
416,<Staf>Mute,Mute Staff,12,staff,1,15,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
417,<Staf>Armor,Armor Staff,15,staff,1,16,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
418,<Staf>Size,Size Staff,18,staff,1,17,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
419,<Staf>Cure2,Cure2 Staff,21,staff,2,18,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
420,<Staf>Life,Life Staff,24,staff,2,19,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
421,<Staf>Charm,Charm Staff,27,staff,2,1A,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
422,<Staf>Image,Image Staff,30,staff,2,1B,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
423,<Staf>Shell,Shell Staff,33,staff,2,1C,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
424,<Staf>Heal,Heal Staff,36,staff,3,1D,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
425,<Staf>Cure3,Cure3 Staff,39,staff,4,1E,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
426,<Staf>Wall,Wall Staff,42,staff,3,1F,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
427,<Staf>Bersk,Bersk Staff,45,staff,3,20,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
428,<Staf>Life2,Life2 Staff,48,staff,4,21,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
429,<Staf>Dispel,Dispel Staff,54,staff,3,23,White,,,,spell,38,80,4b,80,40,00,78,09,34,5f,00,00
430,<Harp>Cure,Cure Harp,5,harp,1,12,White,,,,spell,78,20,4e,80,9b,08,78,0f,7f,00,64,74
